frame.number$frame.time$frame.len$eth.src$eth.dst$ip.src$ip.dst$ip.proto$ip.len$tcp.len$tcp.srcport$tcp.dstport$_ws.col.Info
1$Mar  2, 2022 22:42:14.832850161 +0545$42$c0:ee:fb:92:da:2d$ff:ff:ff:ff:ff:ff$$$$$$$$Who has 192.168.1.1? Tell 192.168.1.10
2$Mar  2, 2022 22:42:15.494076928 +0545$42$08:71:90:9b:cd:96$ff:ff:ff:ff:ff:ff$$$$$$$$Who has 192.168.1.13? Tell 192.168.1.20
3$Mar  2, 2022 22:42:16.504058293 +0545$42$08:71:90:9b:cd:96$ff:ff:ff:ff:ff:ff$$$$$$$$Who has 192.168.1.13? Tell 192.168.1.20
4$Mar  2, 2022 22:42:16.770739792 +0545$66$08:71:90:9b:cd:96$c8:50:e9:d1:53:26$192.168.1.20$34.206.174.218$6$52$0$49338$443$49338 → 443 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=2032226228 TSecr=2332332418
5$Mar  2, 2022 22:42:16.770774531 +0545$66$08:71:90:9b:cd:96$c8:50:e9:d1:53:26$192.168.1.20$34.206.174.218$6$52$0$49336$443$49336 → 443 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=2032226228 TSecr=2332333418
6$Mar  2, 2022 22:42:17.517390696 +0545$42$08:71:90:9b:cd:96$ff:ff:ff:ff:ff:ff$$$$$$$$Who has 192.168.1.13? Tell 192.168.1.20
7$Mar  2, 2022 22:42:18.315931553 +0545$86$c0:ee:fb:92:da:2d$08:71:90:9b:cd:96$$$$$$$$Neighbor Solicitation for fe80::1 from c0:ee:fb:92:da:2d
8$Mar  2, 2022 22:42:19.309946252 +0545$82$08:71:90:9b:cd:96$c8:50:e9:d1:53:26$192.168.1.20$110.44.112.245$17$68$$$$Standard query 0x1a3b A api.openweathermap.org
9$Mar  2, 2022 22:42:19.309960898 +0545$82$08:71:90:9b:cd:96$c8:50:e9:d1:53:26$192.168.1.20$110.44.112.245$17$68$$$$Standard query 0x6439 AAAA api.openweathermap.org
10$Mar  2, 2022 22:42:19.315114830 +0545$114$c8:50:e9:d1:53:26$08:71:90:9b:cd:96$110.44.112.245$192.168.1.20$17$100$$$$Standard query response 0x1a3b A api.openweathermap.org A 178.128.122.9 A 178.128.25.248
11$Mar  2, 2022 22:42:19.316705504 +0545$169$c8:50:e9:d1:53:26$08:71:90:9b:cd:96$110.44.112.245$192.168.1.20$17$155$$$$Standard query response 0x6439 AAAA api.openweathermap.org SOA ns-1790.awsdns-31.co.uk
12$Mar  2, 2022 22:42:19.316906061 +0545$74$08:71:90:9b:cd:96$c8:50:e9:d1:53:26$192.168.1.20$178.128.122.9$6$60$0$56498$80$56498 → 80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=3294303851 TSecr=0 WS=128
13$Mar  2, 2022 22:42:19.393989954 +0545$74$c8:50:e9:d1:53:26$08:71:90:9b:cd:96$178.128.122.9$192.168.1.20$6$60$0$80$56498$80 → 56498 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1440 SACK_PERM=1 TSval=60477098 TSecr=3294303851 WS=128
14$Mar  2, 2022 22:42:19.394076893 +0545$66$08:71:90:9b:cd:96$c8:50:e9:d1:53:26$192.168.1.20$178.128.122.9$6$52$0$56498$80$56498 → 80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3294303928 TSecr=60477098
15$Mar  2, 2022 22:42:19.394221498 +0545$218$08:71:90:9b:cd:96$c8:50:e9:d1:53:26$192.168.1.20$178.128.122.9$6$204$152$56498$80$GET /data/2.5/weather?id=1282991&appid=1a574cba6c46aef984b2efbe3061b147 HTTP/1.1 
16$Mar  2, 2022 22:42:19.473713200 +0545$66$c8:50:e9:d1:53:26$08:71:90:9b:cd:96$178.128.122.9$192.168.1.20$6$52$0$80$56498$80 → 56498 [ACK] Seq=1 Ack=153 Win=65024 Len=0 TSval=60477177 TSecr=3294303928
17$Mar  2, 2022 22:42:19.485667893 +0545$890$c8:50:e9:d1:53:26$08:71:90:9b:cd:96$178.128.122.9$192.168.1.20$6$876$824$80$56498$HTTP/1.1 200 OK , JavaScript Object Notation (application/json)
18$Mar  2, 2022 22:42:19.485733051 +0545$66$08:71:90:9b:cd:96$c8:50:e9:d1:53:26$192.168.1.20$178.128.122.9$6$52$0$56498$80$56498 → 80 [ACK] Seq=153 Ack=825 Win=63488 Len=0 TSval=3294304020 TSecr=60477190
19$Mar  2, 2022 22:42:19.486240348 +0545$66$08:71:90:9b:cd:96$c8:50:e9:d1:53:26$192.168.1.20$178.128.122.9$6$52$0$56498$80$56498 → 80 [FIN, ACK] Seq=153 Ack=825 Win=64128 Len=0 TSval=3294304020 TSecr=60477190
20$Mar  2, 2022 22:42:19.565591013 +0545$66$c8:50:e9:d1:53:26$08:71:90:9b:cd:96$178.128.122.9$192.168.1.20$6$52$0$80$56498$80 → 56498 [FIN, ACK] Seq=825 Ack=154 Win=65024 Len=0 TSval=60477270 TSecr=3294304020
21$Mar  2, 2022 22:42:19.565655243 +0545$66$08:71:90:9b:cd:96$c8:50:e9:d1:53:26$192.168.1.20$178.128.122.9$6$52$0$56498$80$56498 → 80 [ACK] Seq=154 Ack=826 Win=64128 Len=0 TSval=3294304100 TSecr=60477270
22$Mar  2, 2022 22:42:22.001991750 +0545$118$c8:50:e9:d1:53:26$08:71:90:9b:cd:96$34.206.174.218$192.168.1.20$6$104$52$443$49340$Application Data
23$Mar  2, 2022 22:42:22.002047750 +0545$66$08:71:90:9b:cd:96$c8:50:e9:d1:53:26$192.168.1.20$34.206.174.218$6$52$0$49340$443$49340 → 443 [ACK] Seq=1 Ack=53 Win=501 Len=0 TSval=2032231459 TSecr=2332568481
